respondent,group,questionnaire,question_code,question,format,title,response
90,B,Survey,E16,Enjoyment,Long,Mad Max,"This video made me feel both thrill at the intensity of movement and intentions, but also a bit thoughtful and concerned at how aspects of the video may reflect certain aspects of human nature in the face of desperation and control."
100,E,Survey,E16,Enjoyment,Long,Mad Max,"suspenseful, on the edge of my seat, curious what would happen next"
108,E,Survey,E16,Enjoyment,Long,Mad Max,Excitement and anxiety
36,E,Survey,E16,Enjoyment,Long,Mad Max,"It was a lot action, I like a great action movie. I was wondering what was going to happen next."
40,E,Survey,E16,Enjoyment,Long,Mad Max,"excited, interested"
49,E,Survey,E16,Enjoyment,Long,Mad Max,Excited for the charecters
69,E,Survey,E16,Enjoyment,Long,Mad Max,"it was confusing, It was very violent I did not know where they were headed and why"
79,E,Survey,E16,Enjoyment,Long,Mad Max,thrilled
80,E,Survey,E16,Enjoyment,Long,Mad Max,I felt suspense during some of the action packed scenes.
84,E,Survey,E16,Enjoyment,Long,Mad Max,tense and excited
9,E,Survey,E16,Enjoyment,Long,Mad Max,suspense
97,E,Survey,E16,Enjoyment,Long,Mad Max,Squemish
104,A,Post,Q15-1,ComprehensionHelp,Long,The Town,They played it out as well as they could to make me understand I guess?
106,A,Post,Q15-1,ComprehensionHelp,Long,The Town,The length of the clip allowed me to get immersed in the scene and understand.
14,A,Post,Q15-1,ComprehensionHelp,Long,The Town,The action was clear and simple. It was easy to follow the plot even with jumping in the middle of it.
3,A,Post,Q15-1,ComprehensionHelp,Long,The Town,The context set beforehand that they were a group trying to steal money.
52,A,Post,Q15-1,ComprehensionHelp,Long,The Town,"Watching the entire seen uninterrupted. From the start of the heist/robbery to the part where the armored truck employee was robbed, then they set fire to their own vehicle."
55,A,Post,Q15-1,ComprehensionHelp,Long,The Town,The masked heist member really helped me understand the scene. It took me back to the part when they were waiting on the armory truck to arrive with the money so that they could make a clean getaway without being caught. It was a lot of commotion because one of the armored officers ended up getting shot by the masked gunman.
8,A,Post,Q15-1,ComprehensionHelp,Long,The Town,"It was a longer scene, which made it easier to understand the plot. The masks were extremely memorable, which helped to keep the details of the scene in my mind."
81,A,Post,Q15-1,ComprehensionHelp,Long,The Town,Watching it?? There is not anything specific from the scene that helped me understand it
83,A,Post,Q15-1,ComprehensionHelp,Long,The Town,"I had seen the movie a few times previously, and the torching of the vehicle is still vivid in my recollection"
98,A,Post,Q15-1,ComprehensionHelp,Long,The Town,"The distinctive outfits of the heist, the exciting nature of the scene and I enjoy watching heist movies and scenes."
99,A,Post,Q15-1,ComprehensionHelp,Long,The Town,"The duration of the clip was the longest, so I remember more scenes from it due to watching it longer."
6,C,Post,Q15-1,ComprehensionHelp,Long,The Town,The hightend emotions made the scene stick with me as well as the clear actions taken by the characters.
102,D,Post,Q15-1,ComprehensionHelp,Long,The Town,Just paying attention to the scene and being able to be a fan of the movie.
111,D,Post,Q15-1,ComprehensionHelp,Long,The Town,"The length of the video helped me understand what had happened. Also, in a later scene, Jon Hamm's character is seen investigating the burnt vehicle and refers to a single fingerprint being found in the torched wreckage."
115,D,Post,Q15-1,ComprehensionHelp,Long,The Town,The plot was pretty straight forward regarding the robbery and the actions they were taking made sense practically speaking
19,D,Post,Q15-1,ComprehensionHelp,Long,The Town,"The scene itself was relatively straightforward. Some components (like how they were connected to the woman) were unclear, but I could follow the robbery and chase well without background context."
2,D,Post,Q15-1,ComprehensionHelp,Long,The Town,Paying attention. Also not being an entire episode.
35,D,Post,Q15-1,ComprehensionHelp,Long,The Town,The thing that helped me understand was just the action in the movie that made it very good and very easy to remember. Just a great scene.
4,D,Post,Q15-1,ComprehensionHelp,Long,The Town,A more connected storyline would have helped but I tried to pay attention to the characters and where they are next and then drew some conclusions
46,D,Post,Q15-1,ComprehensionHelp,Long,The Town,There was good context before and after. I was interested in the story so I was zoned in as well
51,D,Post,Q15-1,ComprehensionHelp,Long,The Town,"I'm no sure what you mean by what helped my understanding... I guess I remember the scene before it where they were having lunch with Ben Affleck's girlfriend and the two guys had a stressful meeting. Then, after the lunch they met in their apartment and talked about a plan."
66,D,Post,Q15-1,ComprehensionHelp,Long,The Town,"Thinking back to the movie clip, and all the action going on in the robbery event"
67,D,Post,Q15-1,ComprehensionHelp,Long,The Town,"After the heist, the robbery crew discussed what happened during the crime."
68,D,Post,Q15-1,ComprehensionHelp,Long,The Town,"The movie scene feels very similar to other scenes. The overall plot of this segment of the story is quite common, and if anything, there are slight variations from a basic robbery. My attention was also grabbed because of the robbers wearing those masks."
72,D,Post,Q15-1,ComprehensionHelp,Long,The Town,"I was torn between two scenes. The one that I described where the bank heist went wrong and the last scene I saw when they get cornered by the police car and it’s a standdown. The white wall in the back of the person wearing the mask, reminded me more of the color of the bank in the high scene. The scene where they got caught I felt it was more red brick buildings."
76,D,Post,Q15-1,ComprehensionHelp,Long,The Town,Knowing the movie before hand and remembering the nun masks and great action with the police chase
91,D,Post,Q15-1,ComprehensionHelp,Long,The Town,The plot the characters and the time line. The scenes with the various situations.
92,D,Post,Q15-1,ComprehensionHelp,Long,The Town,My recollection is really good as far as remembering images things happening in movies. What helped my understanding is key things that happened in the scene.
94,D,Post,Q15-1,ComprehensionHelp,Long,The Town,"What had helped my understanding was just breathing in and out. Clearing my mind, my thoughts. And remembering that picture that the video of the robber with the with the Nun suit. Just thinking back about that scene. The irony. That they thought they got away. But ran into a police officer that was parked. Watching construction being done over the street. 
He was minding his business he didn’t want trouble they didn’t want to kill him or shoot. So they both left. Split ways and learn about their way. The robbers with the money. And the police officer with his life."
117,F,Post,Q15-1,ComprehensionHelp,Long,The Town,"The scene had a lot of action happening, which made it easy to watch and follow along with the story."
4,D,Post,Q15-1,ComprehensionImprove,Long,The Town,More context of the scene. At times it appeared out if sequence and after the robbery they initially get away but then scene switched and they are caught.  Little confusing.
104,A,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
106,A,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
14,A,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
3,A,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
52,A,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
55,A,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
8,A,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
81,A,Post,Q15,Comprehension,Long,The Town,3 = Understood it well
83,A,Post,Q15,Comprehension,Long,The Town,3 = Understood it well
98,A,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
99,A,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
6,C,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
102,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
111,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
115,D,Post,Q15,Comprehension,Long,The Town,3 = Understood it well
19,D,Post,Q15,Comprehension,Long,The Town,3 = Understood it well
2,D,Post,Q15,Comprehension,Long,The Town,3 = Understood it well
35,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
4,D,Post,Q15,Comprehension,Long,The Town,2 = Somewhat
46,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
51,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
66,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
67,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
68,D,Post,Q15,Comprehension,Long,The Town,3 = Understood it well
72,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
76,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
91,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
92,D,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
94,D,Post,Q15,Comprehension,Long,The Town,3 = Understood it well
117,F,Post,Q15,Comprehension,Long,The Town,4 = Understood it without issue
104,A,Post,Q13,Recall,Long,The Town,"They robbed an armored car, then got into a chase with the police. They switched cars and continue to chase through the city. They didn't mean to shoot anybody but they did anyways. The car they switched to was there on purpose and they torched the original car that they used as a getaway car. They all were dressed as nuns"
106,A,Post,Q13,Recall,Long,The Town,"Three robbers and an escape driver rob a money transport van as it pulls up to the bank. The robbers shot the armed guard of the transport van. The guard was in the front seat and tried to ""be a hero"" by pulling a gun on the robbers. There is an ensuing car chase with the cops. They escape, switch cars, and set fire to the first car."
14,A,Post,Q13,Recall,Long,The Town,The guys perform a heist on a money truck and have to get away from the cops. After the call goes out on the APB. An action packed chase scene happens in Boston city as they try to get away with the money. Eventually they switch cars and explode the first car and jump a bridge. Also at the same time a detective looks for clues and tries to intimidate/interrogate his suspects after the fact.
3,A,Post,Q13,Recall,Long,The Town,The robber group were trying to steal money and this character was on watch as 2 other characters were taking the money and trying to load it in the truck. They quickly noticed the driver had left the front seat and then heard the cops showing up so had to all get back into the car and then a speed chase with the Boston police began.
52,A,Post,Q13,Recall,Long,The Town,"Bank robbers that were dressed as nuns robbed an armored truck outside of the bank. One of the robbers had a romantic interest with the manager of that bank. He was trying to keep up with ribbing while pursuing his live interest. While having a casual talk with the bank manager, another robber came up to the two and started having a conversation about never having mentioned his love interest with the bank manager."
55,A,Post,Q13,Recall,Long,The Town,This was a team of Heist members who were robbing an armory truck. They were being chased by police cars and trying to make a clean getaway within being caught. Things actually didn’t go well because one of the armored truck drivers ended up getting shot by one of the masked men. They were now targeted by the Boston Police Department who were trying to catch them. They ended up changing vehicles to make the pursuit easier without them being caught.
8,A,Post,Q13,Recall,Long,The Town,This was a robbery scene in the film. The three people involved pulled off the heist and were trying to evade capture. Ben Affleck and Jeremy Renner starred in the film. They did shoot a security guard from the armored car.  They eventually went to a side street and then jumped into another car that was the getaway vehicle. They left hair collected from a barber shop in the car they abandoned and set it on fire.
81,A,Post,Q13,Recall,Long,The Town,Three friends that are all males dressed up as nuns and held up as well as robbed the money truck that was collecting from the bank. While they had one of the men stuck up the other man came out of the truck and held one of the robbers at gun point. One of the nun dressed guys shot the guard who worked for the money truck as he had a gun pointed at his friends
83,A,Post,Q13,Recall,Long,The Town,"This guy was part of a 3-man robbery gang and was pointing a gun at a security guard from a money transport vehicle. The other members of the gang were either taking money out of the vehicle or had just finished taking the money. There was another security guard in the vehicle, and if I remember correctly he tried to stop the gang."
98,A,Post,Q13,Recall,Long,The Town,"A group of criminals decide to pull a heist on an armored truck using nun costumes, and it doesn't go exactly to plan due to the security guard of the truck disrupting their plans. They end up stealing the cash and escaping through the city in a car.

They are stealing cash in duffel bags, and an intense police chase ensues when they escape the scene of the crime."
99,A,Post,Q13,Recall,Long,The Town,"They rob an armored truck, taking the money and putting it into bags. One of the security guards manages to grab one of the guys (I believe Ben Affleck and the other robber (I believe Jeremy Renner's character) shoots him in the chest. There is a chase scene involving the getaway van and police through the streets of Boston. They manage to get away and switch to a jeep, setting fire to the getaway van."
6,C,Post,Q13,Recall,Long,The Town,"This was the scene of an active crime. A group of at least three men were robbing a bank dressed as nuns. They then entered into a chase scene with the cops. They went through the city. Causing destruction with their reckless driving, but eventually getting away. This was done via dodging the cops and eventually switching cars."
102,D,Post,Q13,Recall,Long,The Town,They had just robbed a bank truck. One of the robbers shit a killed a security guard because he didn't appreciate what the guard said to the other robber.  They took the money and eventually took a hostage.  They evaded the police on the Boston bridge and told the hostage she would be ok as she did not see their real face.  They dropped her off at a beach and told her to keep walking until she feels water.
111,D,Post,Q13,Recall,Long,The Town,"A group of bank robbers dressed up in nun costumes and in masks pictured above. They attempted to rob an armored truck. However, one of the robbers ended up shooting the driver of the truck and wounding him. The robbery was compromised and a police chase ensued. The group of robbers were in a shoot-out with multiple policemen. They ended up being chased over a bridge. The chase ended when they switched cars, ditched their disguises and set fire to the getaway car. A lone policemen ""possibly"" saw them at the very end of the chase scenes."
115,D,Post,Q13,Recall,Long,The Town,Robbery of an armored vehicle as it pulled up to a bank. They ended up shooting one of the guards and a high speed chase followed. There were a lot of fender benders and shooting in the street. They escaped by making it across a key bridge. They were spotted by a cop who then ignored them. They then set fire to the car.
19,D,Post,Q13,Recall,Long,The Town,"3-4 men in creepy nun costumes and masks robbed a truck full of cash. They had big guns, maybe machine guns. They shot and killed one of the guards of the truck. They took all of the money from the truck and put it in their car and then got in a big car chase with the cops who were trying to capture them. There were many police vehicles, a lot of shooting, a lot of chaotic driving and crashing, and eventually they got into a different van and set the first car on fire."
2,D,Post,Q13,Recall,Long,The Town,The certain gentleman woul not eat the pizza. And his coworkers were teasing him.
35,D,Post,Q13,Recall,Long,The Town,"In the scene, they are robbing the bank and basically watching the cops arrive and as they arrive, they basically start having a shoot out with them to get away but end up getting chased trying to flee the scene of the bank where they robbed and shot the security guard so I fling there’s another cop car that ends up chasing them. They end up shooting that one then they flea again sapphire to the car jump in another car and cross a bridge that is being lifted."
4,D,Post,Q13,Recall,Long,The Town,I had never seen the movie and at times it appears a little out of sync for the clips shown. But i believe this is the start of s Robery.  They are driving to a location and first are nervous because the armor truck is not there but then it shows up.  The guys pull up and jump out and rob the truck.  Chaos unfold
46,D,Post,Q13,Recall,Long,The Town,"The group of bank robbers robbed a bank transport truck and it went wrong and they shot the guy in the armed money transport truck. The cops got there sooner than expected and they went on a big car chase. They then were able to switch vehicles, set the original getaway car on fire, and flee in a new getaway car that their criminal partners met them in. They finally lost the police, but a cop outside a construction site saw them but turned a blind eye. They successfully evaded police."
51,D,Post,Q13,Recall,Long,The Town,"The Ben Affleck team was in the middle of robbing an armoured car and this team member is addressing one of the guards. He said something like ""you should have let us go"" or something like that. I think the guard was in the cab of the truck and he came out and tried to shoot the robbers. 

It was on a busy street in Boston"
66,D,Post,Q13,Recall,Long,The Town,"This scene involved robbing a armord car at a bank. A guard was shot. There were 4 men in the robbery car wearing masks and carrying assault rifles. The injured man was told while lying on the ground, he should have stayed in the truck.  There seemed to be much confusion going on. The men hurried back to the car, which led to a police chase."
67,D,Post,Q13,Recall,Long,The Town,The robbery crew was able to acost the Brinks type money truck as it arrived later than usual at the bank. The money truck driver managed to get out of the truck while the second security person was held at gunpoint on the ground by one of the crew members as the money bags are moved to the robbers getaway vehicle.
68,D,Post,Q13,Recall,Long,The Town,"I remember three men wearing nun masks, as seen above, try to rob a bank. The police pulled up, and this started a chase throughout the city. The men in the masks were split up in different cars at first. One of them eventually cut off a section of police and traffic while intersecting the other robbers. The police got caught behind cars. The robbers got away, changed cars (in front of a cop), and hid further."
72,D,Post,Q13,Recall,Long,The Town,The three person gang is about to rob the bank. They had put their masks on in the car and fget out when they finally see the armed truck in front of the bank. They attack the hard hosting money in the truck but the truck driver somehow gets out and foils the heist. I’m pretty sure this scene was during the moments the gang is trying to decide what to do to get out of the job gone wrong.
76,D,Post,Q13,Recall,Long,The Town,Robbery of an armored truck with a guy in the armored truck that hopped out of the drivers side to try and stop the robbery and got shot but still got robbed but almost got the robbers caught up and the police chased them until they went to another get away car and set their car on fire and ditched the second car right in front of a cop that turned his head and looked away
91,D,Post,Q13,Recall,Long,The Town,He was robbing a bank with others in a nun mask. He was shooting a guard that tried to get in their way and stop them. He shot him. They then got away but soon the police were chasing them as they traded shots with them. They had many accidents but then switched to another car and they eluded the police.
92,D,Post,Q13,Recall,Long,The Town,A group of friends rob a bank as they were continuing on they noticed a cop watching them. The shooter was hesitant but did not take action as to shoot the police officer as I said they both took a moment to exchange a look towards one another and the individual shooter decides to let the cop live assuming that he wouldn't say anything
94,D,Post,Q13,Recall,Long,The Town,In this scene the robbers were hopping out with guns and money. They were getting ready to jump in the getaway car. When one of the mask robber looked to the right and there was a police officer. He was working looking out for the construction workers. Not worrying about them. But they all made eye contact with each other. Awkwardly. Like what are we doing? What are we going to do? He turned his head. And a robbers hurried up and put the money in the car and drove off. So he didn’t call it in. And they spared his life. Pretty much
117,F,Post,Q13,Recall,Long,The Town,"I remember there was an armored truck robbery in the city of Boston, and the robbers were dressed up as nuns. After the robbery, they led the cops on a wild chase throughout the city. The main characters seem to be part of some Irish mob, with one of their gang members currently in prison. At the end of the clip they were being interrogated by the police for the crime."
104,A,Survey,E16,Enjoyment,Long,The Town,"Suspense, excited"
106,A,Survey,E16,Enjoyment,Long,The Town,Excitement and sadness
14,A,Survey,E16,Enjoyment,Long,The Town,I felt suspense and excitement during the chase/getaway scenes and the sit down part.
3,A,Survey,E16,Enjoyment,Long,The Town,suspense and curiosity
52,A,Survey,E16,Enjoyment,Long,The Town,I was really enjoying watching this movie. I've never seen this movie but know all the actors. Love it!
55,A,Survey,E16,Enjoyment,Long,The Town,I was very invested into the characters. It made me feel hopeful and also intrigued into the next scene.
8,A,Survey,E16,Enjoyment,Long,The Town,I felt connected to the characters and wanted to see if there is a redemption arc.
81,A,Survey,E16,Enjoyment,Long,The Town,"I was on edge, nervous, i even felt scared and worried at a point."
83,A,Survey,E16,Enjoyment,Long,The Town,The movie was very interesting because there were several situations and relationships that expressed emotions and caring.
98,A,Survey,E16,Enjoyment,Long,The Town,"It felt exciting thinking about whether they were going to get away from the heist clean or not, and the getaway chase was thrilling too"
99,A,Survey,E16,Enjoyment,Long,The Town,The heist scene was intense and the chase afterwards was fun to watch. It made me feel like I was in the scene.
102,D,Survey,E16,Enjoyment,Long,The Town,"This video made me feel surprised, happy, sad, and excited."
111,D,Survey,E16,Enjoyment,Long,The Town,I felt disappointed and sad when people were murdered during the robbery. I felt suspense during the car chase.
115,D,Survey,E16,Enjoyment,Long,The Town,Excited
19,D,Survey,E16,Enjoyment,Long,The Town,"Edge of my seat, heavy heartbeat, suspense"
2,D,Survey,E16,Enjoyment,Long,The Town,Interested on seeing the end.
4,D,Survey,E16,Enjoyment,Long,The Town,entertained and enjoying the story
46,D,Survey,E16,Enjoyment,Long,The Town,"excited, intense and on the edge of my seat, also feel attached to the characters"
51,D,Survey,E16,Enjoyment,Long,The Town,"Anxious, tense, fearful for the characters"
66,D,Survey,E16,Enjoyment,Long,The Town,wonmdering if they get caught and if the couple stays together
67,D,Survey,E16,Enjoyment,Long,The Town,Tense
68,D,Survey,E16,Enjoyment,Long,The Town,"I felt excitement and humor during certain parts. Overall, I felt excitement and some suspense."
72,D,Survey,E16,Enjoyment,Long,The Town,Made me laugh and was riveting at times
76,D,Survey,E16,Enjoyment,Long,The Town,Suspenseful and engaged
91,D,Survey,E16,Enjoyment,Long,The Town,Exited and action packed visual
92,D,Survey,E16,Enjoyment,Long,The Town,This video made me feel engaged and it was nice to step out of reality for a short period of time.
94,D,Survey,E16,Enjoyment,Long,The Town,all of the emotions described! Lots of ACTION AND ROMANCE!
100,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,I had already seen it prior to last weeks session. It rung a bell in my head
108,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,What helped me more in this scene was Greg verbally explaining his eating habits to his coworkers.
20,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,On what they were talking about and the thing was a teacher not liking pizza
36,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,Seeing the photo helped me remember. I saw this episode prior . I like watching this show !
40,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,the conversation was very clear and easy to follow along. They used words that clearly expressed what was going on. It was vague.
49,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,"As mentioned in part 1, I wasn't;t familiar with the characters or the plot of the show. Does it concentrate on the teachers, th students or both?"
69,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,I know of two of the characters by actual name. I have enjoyed movies that I have watched with them act in. So therefor I was very comfortable watching the scene.
74,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,when he explained that he only ate 5 foods.  I guess that was sort of different or peculiar but not really funny
79,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,The scene was very straightforward to understand. The pizza was a good reminder of the scene.
80,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,I think having prior knowledge of the characters and who they play in the show helped me to maintain a recollection of the scene but it still wasn’t enough to fully remember the scene.
84,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,"The way he selected the pizza, like someone picking up a baby with love and desire."
86,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,It was a memorable scene and I enjoyed the show. I even thought about watching it later on.
9,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,Seeing a visual of the scene helped me in my understanding of the scene
97,E,Post,Q15-1,ComprehensionHelp,Short,Abbot Elementary,It was easy to gather context clues and followed the format of sitcoms.
6,C,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,The episode was funny as well as engaging to watch. Making me care for the characters and their plights within their school.
102,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,A huge fan of the show so it was easy to remember the scene especially when I saw the pizza slice.
111,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,The conversation between the characters helped me understand that Gregory has an issue with pizza and did not want to be honest that he does not like to eat any type that has multiple ingredients.
115,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,Very simplistic storyline and the characters were pretty explanatory in their presentation
19,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,The dialogue gave a pretty clear idea of what was going on. It also helped that I had seen some parts of this show before and so I had some background context
35,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,"Nothing I was unable to watch the scene due to technical difficulties in the project, trying to set up my equipment"
4,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,The story was funny and easy to follow but I just do not recall it right now
46,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,The context was helpful to understanding and I could relate to this scene because I used to not like pizza
51,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,Nothing. I didn't understand the point of the scene. It seemed like a bunch of random people arguing about what they wanted for lunch and one of them had bought food for someone which he inexplicably revealed only after the topic came up in conversation. If you bought someone their favorite pizza why would you hide that fact until the person mentioned likeing it?
66,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,"The dialog between the teachers and the visuals, put all the facts of the scene together"
67,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,"Having previously watched Abbott, I understand that the character Gregory has lots of quirks."
68,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,"The topic in the video was easy to understand. The scene was short and got straight to the point. I, myself, struggle with not liking some foods that most people enjoy, which can lead others to start being critical of that. I understand the dilemma presented in the video, as well as the fact that pizza is another item that is liked by most people."
72,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,Gregory’s facial expressions and as a pizza lover I also couldn’t relate to his distaste for pizza.
76,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,That Gregory didnt like any pizza it helped it stand out and make it memorable because I rarely extremely rarely ever hear someone dislike pizza of all kinds actually I don’t think I cann think of anyone off the top I know people that aren’t eating it for dietary restrictions
91,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,Understanding the characters and their motivation from both points of view.
92,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,Key things like the pizza given to the actor opposite of the other actor
94,D,Post,Q20-1,ComprehensionHelp,Short,Abbot Elementary,"What had helped my understanding was just taking my time with the answer and looking back at the image analyzing the pics of the facial expression, the body language, what was said. How characters reacted."
20,E,Post,Q15-1,ComprehensionImprove,Short,Abbot Elementary,If the clips were a bit longer so I could get a better understanding of the whole clip
49,E,Post,Q15-1,ComprehensionImprove,Short,Abbot Elementary,"I has never watched the show, so having a basic understanding of the characters would have helped understand them"
74,E,Post,Q15-1,ComprehensionImprove,Short,Abbot Elementary,the context.  I dont really watch that show so i didnt understand how or why that was supposed to be interesting or funny
80,E,Post,Q15-1,ComprehensionImprove,Short,Abbot Elementary,Having more context on the scene. Watching it for a longer length. Also if the scene was a little bit more entertaining or created more of an intense emotion.
84,E,Post,Q15-1,ComprehensionImprove,Short,Abbot Elementary,"He would devour it quickly and completely for all to see, and would take another slice with much gusto."
35,D,Post,Q20-1,ComprehensionImprove,Short,Abbot Elementary,if I was able to watch it that would’ve helped me a lot I was unable to watch the scene
51,D,Post,Q20-1,ComprehensionImprove,Short,Abbot Elementary,"Watching the whole episode might have helped. The scene was out of context. I might have been useful to know more about the show and the characters too,"
76,D,Post,Q20-1,ComprehensionImprove,Short,Abbot Elementary,Knowing the show more and the characters who they were what they were like and getting to be familiar with them
100,E,Post,Q15,Comprehension,Short,Abbot Elementary,4 = Understood it without issue
108,E,Post,Q15,Comprehension,Short,Abbot Elementary,3 = Understood it well
20,E,Post,Q15,Comprehension,Short,Abbot Elementary,2 = Somewhat
36,E,Post,Q15,Comprehension,Short,Abbot Elementary,4 = Understood it without issue
40,E,Post,Q15,Comprehension,Short,Abbot Elementary,3 = Understood it well
49,E,Post,Q15,Comprehension,Short,Abbot Elementary,2 = Somewhat
69,E,Post,Q15,Comprehension,Short,Abbot Elementary,4 = Understood it without issue
74,E,Post,Q15,Comprehension,Short,Abbot Elementary,2 = Somewhat
79,E,Post,Q15,Comprehension,Short,Abbot Elementary,4 = Understood it without issue
80,E,Post,Q15,Comprehension,Short,Abbot Elementary,2 = Somewhat
84,E,Post,Q15,Comprehension,Short,Abbot Elementary,2 = Somewhat
86,E,Post,Q15,Comprehension,Short,Abbot Elementary,3 = Understood it well
9,E,Post,Q15,Comprehension,Short,Abbot Elementary,3 = Understood it well
97,E,Post,Q15,Comprehension,Short,Abbot Elementary,4 = Understood it without issue
100,E,Post,Q13,Recall,Short,Abbot Elementary,"They’re trying to get Mr Eddie to eat pizza that Mr Hill brought him. Turns out Mr Eddie doesn’t like pizza and is a very picky eater, with the janitor Mr Johnson repeating that Mr Eddie doesn’t like bacon. The two female teachers (Howard & Schemmenty) give Mr Eddie a hard time for him not liking pizza and they all begin quizzing him on other foods he likes or dislikes"
108,E,Post,Q13,Recall,Short,Abbot Elementary,"The coworkers were trying to get him to eat pizza, even offering some from 2 different places, one he once claimed he liked but discovered that he lied about liking it and is actually a very picky eater. Then he said that's why he does not like to tell people about his eating habits because they often have harsh reactions."
20,E,Post,Q13,Recall,Short,Abbot Elementary,One of his colleagues got him his own pizza for their pizza day for the teachers in the teacher lounge and the pizza was soggy when he lifted it and then he told them that he doesn’t like pizza and everyone in the room was shocked and questioning him about not liking pizza. Then he told them the reason why he doesn’t like pizza
36,E,Post,Q13,Recall,Short,Abbot Elementary,"The crew was eatting pizza . Several of the actors were eatting pizza . The actor was asked to have  a slice of pizza , he didn’t like it ( he don’t really like pizza ) and he told the other actor. He thinks pizza isn’t a good meal plus it was rather wet . He’s likes bring his own lunch to work . He rather a different kind of human being/ nothing wrong with liking what you likes ."
40,E,Post,Q13,Recall,Short,Abbot Elementary,It was set in a lunchroom at an office. Some people ordered pizza - everyone thought the person on the right loved pizza when in reality he hated pizza. But just told everyone he did to basically fit in and not get questions as to why in the world wouldn't he live pizza. The other people in the lunchroom were asking questions.
49,E,Post,Q13,Recall,Short,Abbot Elementary,"I was vaguely familiar with this show, although I had never watched it. They were in the teachers lounge, or a storeroom. The discussion was about pizza, with one character saying he didn't eat that variety which I think was pepperoni. Also a mention of how greasy it was too. You can tell by the look on his face that he doesn't like it."
69,E,Post,Q13,Recall,Short,Abbot Elementary,In this scene of Abbott Elementary the subject that was being talked about was favorite foods. The Principal Gregory and another co worker were talking about food or favorite food in the school cafeteria. Gregory was asked what was his favorite food. As Gregory was picking up a slice of the pizza was asking about liking pizza and he said he did not like pizza
74,E,Post,Q13,Recall,Short,Abbot Elementary,They tried to give him pizza to eat he said he didnt like it and only ate 5 things.  Then he tried the pizza.  I dont remember what happened after that.  It wasnt really funny but im not sure if its supposed to be funny.  i remember they pu oil or water on the pizza and it was really soggy ive never seen anybody do that before
